TITLE,SERVINGSIZE,AUTHOR,INGREDIENTS,STEPS
Good Old-Fashioned Pancakes,8,dakota kelly,"['1 ½ cups all-purpose flour', '3 ½ teaspoons baking powder', '1 tablespoon white sugar', '¼ teaspoon salt, or more to taste', '1 ¼ cups milk', '3 tablespoons butter, melted', '1 large egg']","['Sift flour, baking powder, sugar, and salt together in a large bowl. Make a well in the center and add milk, melted butter, and egg; mix until smooth.', 'Heat a lightly oiled griddle or pan over medium-high heat. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each pancake; cook until bubbles form and the edges are dry, about 2 to 3 minutes. Flip and cook until browned on the other side. Repeat with remaining batter.', 'Dotdash Meredith Food Studios']"
Classic Waffles,5,Megan,"['2 cups all-purpose flour', '1 teaspoon salt', '4 teaspoons baking powder', '2 tablespoons white sugar', '2 large eggs', '1 ½ cups warm milk', '⅓ cup butter, melted', '1 teaspoon vanilla extract']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Mix flour, salt, baking powder, and sugar together in a large bowl; set aside. Preheat waffle iron to desired temperature.', 'Dotdash Meredith Food Studios', 'Beat eggs in a separate bowl; stir in milk, butter, and vanilla.', 'Dotdash Meredith Food Studios', 'Pour milk mixture into flour mixture; beat until blended.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Cook waffles until golden and crisp.', 'Dotdash Meredith Food Studios', 'Serve immediately and enjoy!', 'Dotdash Meredith Food Studios']"
French Toast,3,Jan Bittner,"['⅔ cup milk', '2 large eggs', '1 teaspoon vanilla extract (Optional)', '¼ teaspoon ground cinnamon (Optional)', 'salt to taste', '6 thick slices bread', '1 tablespoon unsalted butter, or more as needed']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Whisk milk, eggs, vanilla, cinnamon, and salt together in a shallow bowl.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Serve hot.', 'DOTDASH MEREDITH FOOD STUDIOS']"
Yogurt Parfait,2,Natalie,"['2 cups vanilla yogurt', '1 cup granola', '8  blackberries']","['Layer 1 cup yogurt, 1/2 cup granola, and 4 blackberries in a large glass; repeat layers.']"
Simple Scones,8,USA WEEKEND columnist Pam Anderson,"['2 cups all-purpose flour', '⅓ cup sugar', '1 teaspoon baking powder', '½ teaspoon salt', '¼ teaspoon baking soda', '8 tablespoons unsalted butter, frozen', '½ cup raisins (or dried currants)', '½ cup sour cream', '1 large egg', '1 teaspoon white sugar']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Preheat the oven to 400 degrees F (200 degrees C); adjust the oven rack to the lower-middle position. Line a baking tray with parchment paper.', 'Mix flour, 1/3 cup sugar, baking powder, salt, and baking soda in a medium bowl. Grate butter into flour mixture on the large holes of a box grater. Use your fingers to work in butter until mixture resembles coarse crumbs, then toss in raisins.', 'Dotdash Meredith Food Studios', 'Whisk sour cream and egg together in a small bowl until combined.', 'Dotdash Meredith Food Studios', 'Stir sour cream mixture into flour mixture using a fork until large dough clumps form. Use your hands to shape dough into a ball. (Dough may seem dry at first but will come together as you work it.)', 'Dotdash Meredith Food Studios', 'Place dough on a lightly floured surface and pat into a 7 to 8-inch circle, about 3/4-inch thick. Sprinkle with remaining 1 teaspoon of sugar.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Bake scones in the preheated oven until golden, about 15 to 17 minutes. Cool for 5 minutes; serve warm or at room temperature.', 'Dotdash Meredith Food Studios', 'Serve and enjoy!', 'Dotdash Meredith Food Studios']"
Easy Sausage Gravy and Biscuits,8,JimmyDean,"['1 (16 ounce) can refrigerated jumbo buttermilk biscuits', '1 (9.6 ounce) package Jimmy Dean® Original Hearty Pork Sausage Crumbles', '¼ cup flour', '2 ½ cups milk', 'salt and freshly ground black pepper to taste']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Preheat the oven to 350 degrees F (175 degrees C). Arrange biscuits 1 to 2 inches apart on an ungreased cookie sheet. Bake in the preheated oven until golden brown, about 13 to 15 minutes.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Stir in flour until well combined.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios']"
Classic Hash Browns,2,"By
 John Mitzewich
 






 

John Mitzewich




 


 

 
John Mitzewich — aka Chef John — has produced more than 1,500 cooking videos for Allrecipes. He's the actor, director, and screenwriter whose hands and voice confidently walk you through techniques.



Allrecipes' editorial guidelines","['2  russet potatoes, peeled', '3 tablespoons clarified butter', '1 pinch cayenne pepper, or to taste', '1 pinch paprika, or to taste', 'salt and ground black pepper to taste']","['Heat clarified butter in a large nonstick pan over medium heat. Sprinkle shredded potatoes into hot butter in an even layer; season with cayenne pepper, paprika, salt, and black pepper.', 'Cook potatoes until a brown crust forms on the bottom, about 5 minutes. Flip or stir and continue to cook until potatoes are browned and crusty all over, about 5 more minutes.']"
Basic Crêpes,4,JENNYC819,"['2 large eggs', '½ cup milk', '½ cup water', '¼ teaspoon salt', '1 cup all-purpose flour', '2 tablespoons butter, melted']","['Heat a lightly oiled griddle or frying pan over medium-high heat. Pour or scoop the batter onto the pan, using approximately 1/4 cup for each crêpe. Tilt the pan with a circular motion so that the batter coats the surface evenly.', 'Cook until the top of the crêpe is no longer wet and the bottom has turned light brown, 1 to 2 minutes. Run a spatula around the edge of the skillet to loosen the crêpe; flip and cook until the other side has turned light brown, about 1 minute more. Serve hot.', 'Dotdash Meredith Food Studios']"
Cream Cheese-Filled Bagel Balls,4,alliecappelli,"['1 cup all-purpose flour, or as needed', '2 teaspoons baking powder', '½ teaspoon salt, or more to taste', '1 cup Greek yogurt', '½ cup cream cheese, or as needed', '1 large egg', '2 teaspoons half-and-half', '2 teaspoons everything bagel seasoning, or to taste', '1 tablespoon butter, melted, or as needed']","['Preheat the oven to 450 degrees F (230 degrees C). Grease a baking pan.', 'Mix 1 cup flour, baking powder, and 1/2 teaspoon salt together. Mix in Greek yogurt and knead until all flour is mixed in; if dough is sticky, add more flour.', 'Cut dough into 8 equal pieces. Roll each piece into a ball and press each ball into a flat circle; they should look like mini pizzas.', 'Mix egg, half-and-half, and a pinch of salt in a small bowl. Brush egg wash on top of each dough ball and sprinkle with bagel seasoning.', 'Bake in the preheated oven until golden brown, about 10 minutes. Remove from the oven and brush with melted butter before serving.', ""Cook's Note:""]"
Best Chicken Salad Sandwich,8,peloquinswife,"['½ cup light mayonnaise', '½ cup low-fat plain yogurt', '1 teaspoon paprika', '1 teaspoon seasoned salt', '1 ½ cups dried cranberries', '1 cup chopped celery', '1 cup cubed green apple', '1 cup sliced red grapes', '1 cup chopped pecans', '4 cups drained canned chicken or cooked shredded chicken', 'ground black pepper to taste', '16 slices whole wheat bread, or 8 bread rolls']","['Mix mayonnaise, yogurt, paprika, and seasoned salt together in a bowl; fold in cranberries, celery, apple, grapes, and pecans. Stir in chicken and season with black pepper.', 'Spoon the chicken salad onto 8 slices of bread and top with remaining slices, or store in an airtight container in the refrigerator for up to 2 days.']"
Grilled Cheese Sandwich,2,Sara,"['4 slices white bread', '3 tablespoons butter, divided', '2 slices Cheddar cheese']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Preheat a nonstick skillet over medium heat. Generously butter one side of a slice of bread.', 'Dotdash Meredith Food Studios', 'Place bread butter-side down in the hot skillet; add 1 slice of cheese.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Cook until lightly browned on one side; flip over and continue cooking until cheese is melted.', 'Dotdash Meredith Food Studios', 'Repeat with remaining 2 slices of bread, butter, and slice of cheese. Serve and enjoy!', 'Dotdash Meredith Food Studios']"
BLT,1,MOTTSBELA,"['4 slices bacon', '2 leaves lettuce', '2 slices tomato', '2 slices bread, toasted', '1 tablespoon mayonnaise']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Cook bacon in a large, deep skillet over medium-high heat until evenly browned, about 10 minutes. Drain bacon on a paper towel-lined plate.', 'Dotdash Meredith Food Studios', 'Arrange cooked bacon, lettuce, and tomato slices on one slice of bread. Spread mayonnaise on the other slice of bread.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios']"
Baked Ham and Cheese Sliders,24,LisaT,"['¾ cup melted butter', '1 ½ tablespoons Dijon mustard', '1 ½ teaspoons Worcestershire sauce', '1 ½ tablespoons poppy seeds', '1 tablespoon dried minced onion', '24 mini sandwich rolls or 12 large', '1 pound thinly sliced cooked deli ham', '1 pound thinly sliced Swiss cheese']","['Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.', 'Dotdash Meredith Food Stuidos', 'Mix butter, Dijon mustard, Worcestershire sauce, poppy seeds, and dried onion in a bowl.', 'Dotdash Meredith Food Stuidos', 'Dotdash Meredith Food Stuidos', 'Place the tops of the rolls onto the sandwiches. Pour mustard mixture evenly over the rolls', 'Dotdash Meredith Food Stuidos', 'Bake in the preheated oven until the rolls are lightly browned and the cheese has melted, about 20 minutes. Slice into individual rolls through the ham and cheese layers to serve.', 'Dotdash Meredith Food Stuidos']"
Grilled Peanut Butter and Jelly Sandwich,1,Chasity,"['2 teaspoons butter', '2 slices white bread', '2 teaspoons any flavor fruit jelly', '1 teaspoon peanut butter']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Heat a griddle or skillet to 350 degrees F (175 degrees C).', 'Spread butter on one side of each slice of bread. Spread jelly on the unbuttered side of one slice of bread; spread peanut butter on the other unbuttered side.', 'Dotdash Meredith Food Studios', 'Place bread slices together, so peanut butter and jelly are in the middle.', 'Dotdash Meredith Food Studios', 'Cook on the preheated griddle until golden brown and heated through, about 4 minutes per side.']"
Fresh Tomato Soup,6,Charlotte,"['4 cups chopped fresh tomatoes', '2 cups chicken broth', '4 cloves garlic', '1 large slice of onion', '2 tablespoons butter', '2 tablespoons all-purpose flour', '2 teaspoons white sugar, or to taste', '1 teaspoon salt, or to taste']","['Gather the ingredients.', 'Dotdash Meredith Food Studios', 'Combine tomatoes, chicken broth, garlic cloves, and a large slice of onion in a stockpot over medium heat. Bring to a boil, and gently simmer for about 20 minutes to blend flavors.', 'Dotdash Meredith Food Studios', 'Remove from heat and run the mixture through a food mill into a large bowl, or pan. Discard any stuff left over in the food mill.', 'Dotdash Meredith Food Studios', 'Melt butter over medium heat in the now empty stockpot. Stir in flour to make a roux by cooking, whisking constantly, until mixture turns medium brown.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Season with sugar and salt to taste.', 'Dotdash Meredith Food Studios', 'Serve hot and enjoy!', 'DOTDASH MEREDITH FOOD STUDIOS', 'Add fresh basil. This is a guaranteed way to make your soup fresh and flavorful.Brown tomato paste with some butter and add it to your soup. When making your roux, this is a great opportunity to add in half a can or more of tomato paste with your butter and flour.']"
Quick and Easy Chicken Noodle Soup,6,marymerharhotmailcom,"['1 tablespoon butter', '½ cup chopped onion', '½ cup chopped celery', '4 (14.5 ounce) cans chicken broth', '1 (14.5 ounce) can vegetable broth', '½ pound chopped cooked chicken breast', '1 ½ cups egg noodles', '1 cup sliced carrots', '½ teaspoon dried basil', '½ teaspoon dried oregano', 'salt and ground black pepper to taste']","['Melt butter in a large pot over medium heat. Add onion and celery and cook until just tender, about 5 minutes.', 'Add chicken broth, vegetable broth, chicken, egg noodles, carrots, basil, oregano, salt, and pepper. Stir to combine and bring to a boil.', 'Reduce heat and simmer for 20 minutes.']"
Quick and Easy Vegetable Soup,6,"By
Anne Vackrinos","['1 (14.5 ounce) can diced tomatoes', '1 (14 ounce) can chicken broth', '1 (11.5 ounce) can tomato-vegetable juice cocktail', '2  carrots, sliced', '2 stalks celery, diced', '1 large potato, diced', '1 cup chopped fresh green beans', '1 cup fresh corn kernels', '1 cup water', 'salt and pepper to taste', '1 pinch Creole seasoning, or more to taste']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Combine tomatoes, chicken broth, tomato juice, carrots, celery, potato, green beans, corn, and water in a large stockpot. Season with salt, pepper, and Creole seasoning.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Serve hot and enjoy!', 'DOTDASH MEREDITH FOOD STUDIOS']"
Best Homemade Caesar Salad Dressing,6,Karen Weir,"['6 cloves garlic, peeled, divided', '3/4 cup mayonnaise', '6 tablespoons grated Parmesan cheese, divided', '5  anchovy fillets, minced', '1 tablespoon lemon juice, or more to taste', '1 teaspoon Worcestershire sauce', '1 teaspoon Dijon mustard', 'salt and ground black pepper to taste', '1/4 cup olive oil', '4 cups day-old bread, cubed', '1 head romaine lettuce, torn into bite-sized pieces']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Mince 3 cloves of garlic and place in a small bowl. Add mayonnaise, 2 tablespoons grated Parmesan cheese, anchovies, lemon juice, Worcestershire sauce, and mustard; mix well to combine. Season to taste with salt and black pepper. Refrigerate until ready to use.', 'Dotdash Meredith Food Studios', 'Heat oil in a large skillet over medium heat. Slice remaining 3 cloves of garlic into quarters and add to hot oil. Cook and stir until brown, then remove garlic from pan. Cook bread cubes in hot flavored oil, turning frequently, until lightly browned; transfer onto a plate and season with salt and pepper.', 'Dotdash Meredith Food Studios', 'Place lettuce in a large bowl. Add dressing, remaining Parmesan cheese, and seasoned bread cubes; toss well to coat.', 'Dotdash Meredith Food Studios', 'Serve immediately and enjoy!']"
